KNN,SVM,XGBoost,RandomForest,DrugBank ID,SMILES,Molecular_Weight,LogP,Hydrogen_Bond_Donors,Hydrogen_Bond_Acceptors,Passes_Lipinski_Rule
0,0,0,0,DB00201,Cn1c(=O)c2c(ncn2C)n(C)c1=O,194.194,-1.0293,0,6,True
0,0,0,0,DB00716,CCCc1c2oc(C(=O)O)cc(=O)c2cc2c(=O)cc(C(=O)O)n(CC)c12,371.34500000000014,2.476700000000001,2,6,True
0,0,0,0,DB00876,CCCCc1ncc(C=C(Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,424.52200000000016,4.744400000000003,2,5,True
0,0,0,0,DB01097,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,270.21,3.2541200000000012,1,3,True
0,0,0,0,DB01393,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,361.82500000000005,3.554500000000001,2,3,True
0,0,0,0,DB01796,O=C(O)c1cccnc1C(=O)O,167.11999999999998,0.478,2,3,True
0,0,0,0,DB02010,CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,466.5410000000003,4.354000000000003,2,6,True
0,0,0,0,DB02132,O=C(O)Cn1c(=O)n(Cc2ccc(Br)cc2F)c(=O)c2ccc(Cl)cc21,441.64000000000016,2.8511000000000015,1,5,True
0,0,0,0,DB02152,COC(=O)C1(O)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,467.4810000000003,3.655100000000002,2,7,True
0,0,0,0,DB02354,Cc1nc2ccccc2n1Cc1ccc2c(c1)nc(CNc1ccc(C(=N)N)cc1)n2C,423.5240000000001,4.175890000000001,3,6,True
0,0,0,0,DB02834,O=C(O)COc1cc(F)ccc1C(=O)NCc1nc2c(F)c(F)cc(F)c2s1,414.33600000000007,3.246100000000002,2,5,True
0,0,0,0,DB04357,Nc1nc(O)c2nc(CNc3ccc(C(=O)O)cc3)cnc2[nH+]1,313.297,0.43699999999999983,4,7,True
0,0,0,0,DB04552,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,282.221,3.542200000000001,2,3,True
0,0,0,0,DB04582,CC(C)C1(C)N=C(c2nc3ccccc3cc2C(=O)O)NC1=O,311.341,2.2241,2,4,True
